DATE,IPN31152N
1/1/1972,59.96
3/1/1972,74.24
4/1/1972,78.11
5/1/1972,84.76
6/1/1972,100.60
7/1/1972,100.13
8/1/1972,96.36
9/1/1972,85.80
10/1/1972,70.39
11/1/1972,60.81
12/1/1972,58.66
1/1/1973,61.10
2/1/1973,72.21
3/1/1973,80.10
4/1/1973,83.91
5/1/1973,87.37
6/1/1973,109.75
7/1/1973,107.37
8/1/1973,99.66
9/1/1973,91.63
10/1/1973,75.30
11/1/1973,65.93
12/1/1973,61.53
1/1/1974,62.98
2/1/1974,75.34
3/1/1974,84.27
4/1/1974,84.59
5/1/1974,90.54
6/1/1974,109.90
7/1/1974,103.89
8/1/1974,101.03
9/1/1974,89.48
10/1/1974,73.70
11/1/1974,66.16
12/1/1974,61.07
1/1/1975,64.27
2/1/1975,75.42
3/1/1975,85.17
4/1/1975,85.09
5/1/1975,97.36
6/1/1975,113.53
7/1/1975,108.15
8/1/1975,104.83
9/1/1975,90.12
10/1/1975,75.72
11/1/1975,70.22
12/1/1975,62.74
1/1/1976,61.94
2/1/1976,74.06
3/1/1976,86.96
4/1/1976,90.13
5/1/1976,94.15
6/1/1976,110.03
7/1/1976,107.46
8/1/1976,103.82
9/1/1976,92.24
10/1/1976,75.10
11/1/1976,67.53
12/1/1976,62.48
1/1/1977,63.77
2/1/1977,75.06
3/1/1977,90.02
4/1/1977,92.66
5/1/1977,99.12
6/1/1977,114.72
7/1/1977,112.33
8/1/1977,106.41
9/1/1977,91.72
10/1/1977,76.02
11/1/1977,67.39
12/1/1977,61.44
1/1/1978,61.89
2/1/1978,72.87
3/1/1978,83.93
4/1/1978,89.06
5/1/1978,92.45
6/1/1978,111.33
7/1/1978,106.93
8/1/1978,103.69
9/1/1978,90.62
10/1/1978,79.18
11/1/1978,67.88
12/1/1978,62.40
1/1/1979,63.01
2/1/1979,73.94
3/1/1979,86.43
4/1/1979,91.20
5/1/1979,94.70
6/1/1979,110.10
7/1/1979,107.15
8/1/1979,106.77
